Geno Smith,34,7,75,221,80,West Virginia,12,LV,QB
Harold Landry III,29,2,74,252,80,Boston College,7,NE,LE
Hjalte Froholdt,29,72,77,310,80,Arkansas,6,ARI,C
Ikem Ekwonu,24,79,76,320,80,N.C. State,3,CAR,LT
Isaac Seumalo,31,73,76,303,80,Oregon State,9,PIT,LG
Isaiah Likely,25,80,76,241,80,Coastal Carolina,3,BLT,TE
J.K. Scott,28,16,77,208,80,Alabama,7,LAC,P
Jauan Jennings,28,15,75,212,80,Tennessee,5,SF,WR
Jaylen Warren,26,30,68,215,80,Oklahoma St.,3,PIT,HB
Joey Porter,25,24,74,193,80,Penn State,2,PIT,CB
John Franklin-Myers,28,98,76,288,80,Stephen F. Austin,7,DEN,DT
Jonathon Cooper,27,0,76,257,80,Ohio State,4,DEN,LE
Jordyn Brooks,27,20,72,240,80,Texas Tech,5,MIA,MLB
Josh Downs,24,1,70,175,80,North Carolina,2,IND,WR
Julian Blackmon,27,28,72,187,80,Utah,5,NO,SS
Ka'imi Fairbairn,31,15,72,183,80,UCLA,9,HST,K
Kareem Hunt,30,29,71,210,80,Toledo,8,KC,HB
Kyle Dugger,29,23,74,220,80,Lenoir-Rhyne University,5,NE,SS
Kyle Van Noy,34,53,75,250,80,BYU,11,BLT,LE
Marquise Brown,28,5,69,180,80,Oklahoma,6,KC,WR
Mason Graham,21,94,76,306,80,Michigan,0,CLV,DT
Orlando Brown Jr,29,75,80,345,80,Oklahoma,7,CIN,LT
Poona Ford,29,95,71,310,80,Texas,7,LAR,DT
Rasheed Walker,25,63,78,324,80,Penn State,3,GB,LT
Reed Blankenship,26,32,73,203,80,Mid Tenn St.,3,PHI,FS
Rhamondre Stevenson,27,38,72,230,80,Oklahoma,4,NE,HB
Rico Dowdle,27,5,72,215,80,South Carolina,5,CAR,HB
Tarheeb Still,23,29,73,196,80,Maryland,1,LAC,CB
Teven Jenkins,27,74,78,321,80,Oklahoma St.,4,CLV,RG
Tremaine Edmunds,27,49,77,250,80,Virginia Tech,7,CHI,MLB
Will Fries,27,76,78,309,80,Penn State,4,MIN,RG
Xavier Worthy,22,1,71,165,80,Texas,1,KC,WR
Xavier Woods,30,25,71,200,80,LA. Tech,8,TEN,FS
YaYa Diaby,26,0,75,270,80,Louisville,2,TB,RE
Zaire Franklin,29,44,72,235,80,Syracuse,7,IND,MLB
Zyon McCollum,26,27,74,199,80,Sam Houston,3,TB,CB
Alec Pierce,25,14,75,211,79,Cincinnati,3,IND,WR
Alex Anzalone,30,34,75,240,79,Florida,8,DET,ROLB
Bo Nix,25,10,74,214,79,Oregon,1,DEN,QB
Bradley Chubb,29,2,76,275,79,N.C. State,7,MIA,RE
Brandin Cooks,31,10,70,189,79,Oregon State,11,NO,WR
Bryce Baringer,26,17,75,215,79,Michigan St.,2,NE,P
Cameron Dicker,25,11,73,216,79,Texas,3,LAC,K
Cameron Jordan,36,94,76,287,79,California,14,NO,RE
Cesar Ruiz,26,51,76,316,79,Michigan,5,NO,RG
Chase McLaughlin,29,4,73,190,79,Illinois,6,TB,K
Chase Young,26,99,77,264,79,Ohio State,5,NO,RE
Cody Barton,28,50,74,237,79,Utah,6,TEN,MLB
Cody Mauch,26,69,77,302,79,North Dakota St.,2,TB,RG
DaQuan Jones,33,92,76,320,79,Penn State,11,BUF,DT
David Onyemata,32,90,75,300,79,Manitoba,9,ATL,DT
DJ Turner II,24,20,72,180,79,Michigan,2,CIN,CB
Drew Dalman,26,52,75,300,79,Stanford,4,CHI,C
Dru Phillips,23,22,71,180,79,Kentucky,1,,CB
Edgerrin Cooper,23,56,74,230,79,Texas AM,1,GB,MLB
Elijah Molden,26,2,70,192,79,Washington,4,LAC,FS
Germaine Pratt,29,57,74,250,79,N.C. State,6,LV,ROLB
Gervon Dexter Sr,23,99,78,312,79,Florida,2,CHI,DT
Jack Conklin,31,78,78,308,79,Michigan St.,9,CLV,RT
Jack Fox,29,3,74,224,79,Rice,7,DET,P
Jalon Walker,24,11,73,243,79,Georgia,0,ATL,LE
James Daniels,27,78,76,327,79,Iowa,7,MIA,LG
Jarran Reed,31,90,75,306,79,Alabama,9,SEA,DT
Jason Myers,34,5,70,190,79,Marist,10,SEA,K
Jermaine Johnson II,26,11,77,262,79,Florida State,3,,RE
Joe Tippmann,24,66,78,317,79,Wisconsin,2,,C
Jordan Mason,26,27,71,223,79,Georgia Tech,3,MIN,HB
Jourdan Lewis,30,2,70,195,79,Michigan,8,JAX,CB
Kamren Curl,26,3,74,198,79,Arkansas,5,LAR,SS
Kyler Murray,28,1,70,207,79,Oklahoma,6,ARI,QB
Luke Rhodes,32,46,74,238,79,William  Mary,9,IND,LS
Malik Hooker,29,28,74,212,79,Ohio State,8,DAL,FS
Marvin Harrison Jr,23,18,75,209,79,Ohio State,1,ARI,WR
Mike Gesicki,29,88,78,250,79,Penn State,7,CIN,TE
Nate Wiggins,22,2,74,173,79,Clemson,1,BLT,CB
Nick Folk,40,18,73,222,79,Arizona,17,,K
Osa Odighizuwa,27,97,74,280,79,UCLA,4,DAL,DT
Quay Walker,25,7,76,241,79,Georgia,3,GB,ROLB
Rachaad White,26,1,72,214,79,Arizona St.,3,TB,HB
Raheem Mostert,33,31,70,205,79,Purdue,10,LV,HB
Rashid Shaheed,27,22,72,180,79,Weber State,3,NO,WR
